name,opinion_link,opinion_review_count,features_AI,features_규격,features_네트워크,features_배터리,features_벤치마크,features_사운드,features_시스템,features_카메라
APPLE 2024 iPad Air 11 M2,/info/?pcode=49645007&cate=22254632&deliveryYN=N&bookmark=cm_opinion&companyReviewYN=N#bookmark_cm_opinion,11,요약편집교정 / 이미지 생성편집 / 음성비서,"가로: 178.5mm / 세로: 247.6mm / 두께: 6.1mm / 무게: 462g / 출시가: 899,000원",Wi-Fi전용 / 802.11ax(Wi-Fi 6E) / 듀얼밴드 / 블루투스v5.3,"충전단자: C타입 / USB3.1 / 약 8,900mAh(28.93WH) / 최대충전 / : 약30W",AP싱글코어 / : 2589 / AP멀티코어 / 10122,스피커: 2개 / 마이크: 2개 / 돌비애트모스,APPLE M2 / 8코어 / 램 / : 8GB / 용량 / 128GB / microSD미지원,"후면:1,200만화소 / 전면:1,200만화소 / 4K@60fps / F1.8 / 센터 스테이지 / 슬로모션 동영상"
삼성전자 갤럭시탭S10 플러스,/info/?pcode=67690235&cate=22254632&deliveryYN=N&bookmark=cm_opinion&companyReviewYN=N#bookmark_cm_opinion,14,요약편집교정 / 이미지 생성편집 / 실시간 통역 / 서클투서치 / 음성비서,"방수 / : IP68 / 가로: 285.4mm / 세로: 185.4mm / 두께: 5.6mm / 무게: 571g / 출시가: 1,248,500원",Wi-Fi전용 / 802.11ax(Wi-Fi 6E) / 트라이밴드 / 블루투스v5.3,"충전단자: C타입 / USB3.2 / 10,090mAh / 최대충전 / : 45W",AP싱글코어 / : 2302 / AP멀티코어 / 7547,스피커: 4개 / 마이크: 2개 / AKG튠,디멘시티 9300+ / 8코어 / 램 / : 12GB / 용량 / 256GB / microSD:최대1.5TB,"후면:1,300만화소+800만화소 / 전면:1,200만화소 / 4k@30fps / F2.0"
삼성전자 갤럭시탭S9,/info/?pcode=22298102&cate=22254632&deliveryYN=N&bookmark=cm_opinion&companyReviewYN=N#bookmark_cm_opinion,10,요약편집교정 / 이미지 생성편집 / 서클투서치 / 음성비서,"방수 / : IP68 / 가로: 254.3mm / 세로: 165.8mm / 두께: 5.9mm / 무게: 498g / 출시가: 998,800원",Wi-Fi전용 / 802.11ax(Wi-Fi 6E) / 트라이밴드 / 블루투스v5.3,"충전단자: C타입 / USB3.0 / 8,400mAh / 최대충전 / : 45W",AP싱글코어 / : 1991 / AP멀티코어 / 5229,스피커: 4개 / AKG튠 / 돌비애트모스,스냅드래곤8 Gen2 / 8코어 / 램 / : 8GB / 용량 / 128GB / microSD:최대1TB,"후면:1,300만화소 / 전면:1,200만화소 / 4K@60fps / F2.0"
APPLE 2024 iPad Pro 11 M4,/info/?pcode=49645481&cate=22254632&deliveryYN=N&bookmark=cm_opinion&companyReviewYN=N#bookmark_cm_opinion,5,요약편집교정 / 이미지 생성편집 / 음성비서,"가로: 177.5mm / 세로: 249.7mm / 두께: 5.3mm / 무게: 444g / 출시가: 1,499,000원",Wi-Fi전용 / 802.11ax(Wi-Fi 6E) / 듀얼밴드 / 블루투스v5.3,"충전단자: C타입 / USB4.0 / 약 8,191mAh(31.29WH) / 최대충전 / : 약30W",AP싱글코어 / : 3810 / AP멀티코어 / 14541,스피커: 4개 / 마이크: 4개 / 돌비애트모스,APPLE M4 / 9코어 / 램 / : 8GB / 용량 / 256GB / microSD미지원,"후면:1,200만화소 / 전면:1,200만화소 / 4K@60fps / F1.8 / ProRes동영상 / 광학줌 / 센터 스테이지 / 슬로모션 동영상 / 애니모티콘미모티콘 / 1080p@30fps"
APPLE 2024 iPad mini A17 Pro 7세대,/info/?pcode=71155355&cate=22254632&deliveryYN=N&bookmark=cm_opinion&companyReviewYN=N#bookmark_cm_opinion,7,요약편집교정 / 이미지 생성편집 / 음성비서,"가로: 134.8mm / 세로: 195.4mm / 두께: 6.3mm / 무게: 293g / 출시가: 749,000원",Wi-Fi전용 / 802.11ax(Wi-Fi 6E) / 듀얼밴드 / 블루투스v5.3,"충전단자: C타입 / USB3.0 / 약 5,078mAh(19.3WH) / 최대충전 / : 약20W",AP싱글코어 / : 2953 / AP멀티코어 / 7441,스피커: 2개 / 마이크: 2개,A17 Pro / 6코어 / 램 / : 8GB / 용량 / 128GB / microSD미지원,"후면:1,200만화소 / 전면:1,200만화소 / 4K@60fps / F1.8 / 센터 스테이지 / 슬로모션 동영상"
삼성전자 갤럭시탭S10 울트라,/info/?pcode=67690268&cate=22254632&deliveryYN=N&bookmark=cm_opinion&companyReviewYN=N#bookmark_cm_opinion,7,요약편집교정 / 이미지 생성편집 / 실시간 통역 / 서클투서치 / 음성비서,"방수 / : IP68 / 가로: 326.4mm / 세로: 208.6mm / 두께: 5.4mm / 무게: 718g / 출시가: 1,598,300원",Wi-Fi전용 / 802.11be(Wi-Fi 7) / 트라이밴드 / 블루투스v5.3,"충전단자: C타입 / USB3.2 / 11,200mAh / 최대충전 / : 45W",AP싱글코어 / : 2302 / AP멀티코어 / 7547,스피커: 4개 / 마이크: 2개 / AKG튠,디멘시티 9300+ / 8코어 / 램 / : 12GB / 용량 / 256GB / microSD:최대1.5TB,"후면:1,300만화소+800만화소 / 전면:1,200만화소+1,200만화소 / 4k@30fps / F2.0"
APPLE 2024 iPad Air 13 M2,/info/?pcode=49645295&cate=22254632&deliveryYN=N&bookmark=cm_opinion&companyReviewYN=N#bookmark_cm_opinion,3,요약편집교정 / 이미지 생성편집 / 음성비서,"가로: 214.9mm / 세로: 280.6mm / 두께: 6.1mm / 무게: 617g / 출시가: 1,199,000원",Wi-Fi전용 / 802.11ax(Wi-Fi 6E) / 듀얼밴드 / 블루투스v5.3,"충전단자: C타입 / USB3.1 / 약 10,340mAh(36.59WH) / 최대충전 / : 약30W",AP싱글코어 / : 2589 / AP멀티코어 / 10122,스피커: 2개 / 마이크: 2개 / 돌비애트모스,APPLE M2 / 8코어 / 램 / : 8GB / 용량 / 128GB / microSD미지원,"후면:1,200만화소 / 전면:1,200만화소 / 4K@60fps / F1.8 / 센터 스테이지 / 슬로모션 동영상"
삼성전자 갤럭시탭S10 플러스 5G,/info/?pcode=67690223&cate=22254632&deliveryYN=N&bookmark=cm_opinion&companyReviewYN=N#bookmark_cm_opinion,2,요약편집교정 / 이미지 생성편집 / 실시간 통역 / 서클투서치 / 음성비서,"방수 / : IP68 / 가로: 285.4mm / 세로: 185.4mm / 두께: 5.6mm / 무게: 576g / 출시가: 1,468,500원",5G+Wi-Fi / 802.11ax(Wi-Fi 6E) / 트라이밴드 / 블루투스v5.3,"충전단자: C타입 / USB3.2 / 10,090mAh / 최대충전 / : 45W",AP싱글코어 / : 2302 / AP멀티코어 / 7547,스피커: 4개 / 마이크: 2개 / AKG튠,디멘시티 9300+ / 8코어 / 램 / : 12GB / 용량 / 256GB / microSD:최대1.5TB,"후면:1,300만화소+800만화소 / 전면:1,200만화소 / 4k@30fps / F2.0"
삼성전자 갤럭시탭S9 플러스,/info/?pcode=22044530&cate=22254632&deliveryYN=N&bookmark=cm_opinion&companyReviewYN=N#bookmark_cm_opinion,10,요약편집교정 / 이미지 생성편집 / 서클투서치 / 음성비서,"가로: 285.4mm / 세로: 185.4mm / 두께: 5.7mm / 무게: 581g / 출시가: 1,248,500원",Wi-Fi전용 / 802.11ax(Wi-Fi 6E) / 트라이밴드 / 블루투스v5.3,"충전단자: C타입 / USB3.0 / 10,090mAh / 최대충전 / : 45W",AP싱글코어 / : 1991 / AP멀티코어 / 5229,스피커: 4개 / AKG튠 / 돌비애트모스,스냅드래곤8 Gen2 / 8코어 / 램 / : 12GB / 용량 / 256GB / microSD:최대1TB,"후면:1,300만+800만화소 / 전면:1,200만+1,200만화소 / 4K@60fps / F2.0"
APPLE 2024 iPad Pro 13 M4,/info/?pcode=49645475&cate=22254632&deliveryYN=N&bookmark=cm_opinion&companyReviewYN=N#bookmark_cm_opinion,10,요약편집교정 / 이미지 생성편집 / 음성비서,"가로: 215.5mm / 세로: 281.6mm / 두께: 5.1mm / 무게: 579g / 출시가: 1,999,000원",Wi-Fi전용 / 802.11ax(Wi-Fi 6E) / 듀얼밴드 / 블루투스v5.3,"충전단자: C타입 / USB4.0 / 약 10,209mAh(38.99WH) / 최대충전 / : 약30W",AP싱글코어 / : 3810 / AP멀티코어 / 14541,스피커: 4개 / 마이크: 4개 / 돌비애트모스,APPLE M4 / 9코어 / 램 / : 8GB / 용량 / 256GB / microSD미지원,"후면:1,200만화소 / 전면:1,200만화소 / 4K@60fps / F1.8 / ProRes동영상 / 광학줌 / 센터 스테이지 / 슬로모션 동영상 / 애니모티콘미모티콘 / 1080p@30fps"
